text,movement,style,year,corpus,var
" И чтобы дело не стояло, тем более я уезжал в Ленинград, я пошёл на фабрику, взял у Броневского нормативные справочники и своей рукой внёс изменения, полученные из Москвы, а ему велел пересчитать расценки. ",1,0,1976,0,из
" Давайте созовём совещание, пригласим представителя из Москвы и разберёмся. ",1,0,1976,0,из
"  Приезжает представитель из Москвы, созываем совещание, приглашаем мастеров с фабрики, из районов, слово дают Броневскому: мол, какие у вас претензии… ",1,0,1976,0,из
" Представитель из Москвы подтвердил, что ничего я сам не придумал, инструкцию дала Москва. ",0,0,1976,0,из
 За несколько дней до вылета из Москвы пришла мне в голову счастливая идея ― пустить среди своих друзей анкету. ,1,0,1976,0,из
" Родителей Медведя перевели куда-то по работе, они уехали из Москвы, и Медведь уехал с ними, а Манюня очень плохо учился, его выгнали из школы, он попал в ""лесную школу"", оттуда сбежал, связался с блатными и во время войны сидел по уголовным делам в лагере. ",1,0,1976,0,из
" Ведь люди в войну последнее продавали, все нажитки, чтоб не пропасть ― баба Нила продала серебряные ложки, подстаканник, коврик, шали, всё хоть немного ценное, что из Москвы везли, даже свой крестик нательный, потому что Глебов умирал, литр молока на рынке стоил примерно так же, как серебряная ложечка, ― а тут новое накоплено и, смотри-ка, Айвазовский. ",1,0,1976,0,из
" И вот дед спросит: ""Что вам, мамаша, из Москвы привезти?""― ""А постного сахарку, Николай Ефимович, если по силе-возможности!"" Ну, конечно, на великий пост посылали с оказией. ",1,1,1976,0,из
" Помню, на крыше встретил Антона с тремя парнями, а потом бегали на квартиру к Соне Ганчук, и там был Вадька Батон, который на другой день уезжал из Москвы. ",1,0,1976,0,из
"  ― Из Москвы, а что? ― ответила девушка и на всякий случай посмотрела на берег, прикидывая, не опасна ли на такой глубине разговаривать с чужими мужчинами. ",1,1,1973,0,из
"  ― Ты чего это тут бдительность развёл? ― спросил он.  ― Это товарищ Степанов, профессор, из Москвы…  Тебе уж теперь на каждом шагу будут воры казаться. ",0,1,1971,0,из
  Из Москвы Иван двинул домой второе письмо. ,1,0,1971,0,из
"  ""Уважаемые родные, друзья!   Пишу вам из Москвы.  Нас здесь захватил водоворот событий. ",1,0,1971,0,из
 Крепко целую тебя.  Из Москвы напишу письмо.  Твой Димка. ,1,0,1971,0,из
"  Выехав из Москвы, они свернули с асфальта и долго ехали по просёлочной дороге, потом петляли по лесу и наконец остановились перед табличкой, на которой было написано СТОП! ",1,0,1971,0,из
" Дмитриев очень жалел, что так получилось, что муж сделался несчастным человеком, бросил работу, уехал из Москвы, и Таня тоже стала несчастным человеком, но ничего поделать было нельзя. ",1,0,1969,0,из
" Соседи меня притесняют как хотят, мой сундук выбросили, мою полку со стены сорвали ― они знают, что я слова не смею… что меня можно выселить из Москвы! ",1,0,1979,0,из
" Год срока ему кончался, но судимость оставалась, и, чтоб не выслали из Москвы, он очень просил начальство оставить его на этой работе и вольным, б на полутора тысячах. ",1,0,1979,0,из
"  Писать всё, как есть ― значило быть выгнанной к концу недели из университета, из общежития, из Москвы. ",1,0,1979,0,из
"  ― Товарищ дежурный, прибыла специальная группа из Москвы для выполнения работ в войсковой части. ",1,1,1967,0,из
" А вы откудова?   ― Из Москвы, ― ответила Лида.   ― В Москве, говорят, снабжение хорошее. ",0,1,1967,0,из
" Откуда?  Ого, из Москвы!  А я, между прочим, из Шотландии. ",0,1,1966,0,из
 Он ещё за год или за два уехал из Москвы. ,1,0,1964,0,из
"  Выезжал я из Москвы в ростепель, в хмурую и тёплую погодку. ",1,0,1964,0,из
" Его недавно по распределению прислали к нам из Москвы, но он уже сумел задать тон всей редакции: ""Старик"""" Старуха"""" А не пойти ли нам, старуха, в"" Белую лошадь ""…"" ",1,0,1964,0,из
"  Снова мы блуждали по эфиру, слушали голоса городов и станций, неслись из Москвы в Копенгаген, из Копенгагена в Капштадт и Гавану. ",1,0,1964,0,из
"  ― Есть ещё один способ, ― напористо продолжал парень. ― Известно, что в этот город часто приезжают девушки из Москвы и Ленинграда для того, чтобы рассеяться после сердечных неудач. ",1,0,1963,0,из
" Мне просто надо было уехать из Москвы, а во-вторых, почему бы мне не быть здесь? ",1,0,1963,0,из
" Не просто фифа из Москвы, а с характером и с печалью. ",0,0,1963,0,из
"  Он лежал на койке врача, слушал последние известия из Москвы, когда раздался сильный стук в дверь. ",1,0,1963,0,из
" Одни говорили, что приехавший из Москвы в область следователь по особо важным делам не побоится обнародовать причастность к делу всего городского начальства. ",1,0,1969,0,из
"  ― Что ты, первый раз из Москвы уехала? ",1,1,1961,0,из
" Ребята представились хозяину и сказали, что они студенты-ихтиологи из Москвы и приехали сюда для изучения нравов рыб Финского залива. ",0,0,1961,0,из
 Привозит нам сигареты с фильтром.   АЛИК СТАЛ ПОЛУЧАТЬ ПИСЬМА из Москвы.  Однажды я увидел обратный адрес: ,1,0,1961,0,из
" Не хочется ни о чём думать, а думаю я о том, что Витька, наверное, уже вылетел из Москвы в неизвестном направлении.  (",1,0,1961,0,из
" Его догадка была верной ― письмо было из Москвы, от жены. ",0,0,1958,0,из
 Перед войной она приехала погостить из Москвы и застряла. ,1,0,1960,0,из
" Это была временная, эвакуированная из Москвы столица, с дипломатическим корпусом, с балетом Большого театра, со знаменитыми писателями, с московскими конферансье, с иностранными журналистами. ",1,0,1960,0,из
"  Соседка, Муся Борисовна, рассказала, что Давид приехал погостить к бабушке из Москвы и война отрезала его от матери. ",1,0,1960,0,из
